split,date,raw_type,mapped_label,class_index,file_path,file_name,window_index,start_sample,end_sample
val,2025-07-15,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-15/SRhy/152789_117074705_ecgdata.csv,152789_117074705_ecgdata.csv,0,0,2500
val,2025-07-15,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-15/SRhy/152789_117074705_ecgdata.csv,152789_117074705_ecgdata.csv,1,2500,5000
val,2025-07-15,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-15/SRhy/152789_117074705_ecgdata.csv,152789_117074705_ecgdata.csv,2,5000,7500
val,2025-07-15,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-15/SRhy/152789_117074705_ecgdata.csv,152789_117074705_ecgdata.csv,3,7500,10000
val,2025-07-15,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-15/SRhy/152789_117074705_ecgdata.csv,152789_117074705_ecgdata.csv,4,10000,12500
val,2025-07-15,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-15/SRhy/152789_117074705_ecgdata.csv,152789_117074705_ecgdata.csv,5,12500,15000
val,2025-07-15,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-15/SRhy/152789_117074705_ecgdata.csv,152789_117074705_ecgdata.csv,6,15000,17500
val,2025-07-15,SRhy,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-15/SRhy/152789_117074705_ecgdata.csv,152789_117074705_ecgdata.csv,7,17500,20000
val,2025-07-14,SArrh,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-14/SArrh/151054_116848348_ecgdata.csv,151054_116848348_ecgdata.csv,0,0,2500
val,2025-07-14,SArrh,NSR,0,/Users/Sonny/Research/Ecgdata/2025-07-14/SArrh/151054_116848348_ecgdata.csv,151054_116848348_ecgdata.csv,1,2500,5000
