[manifest] resolving 20 day folders
[manifest] class=21AvB selected=7696 train=6156 val=770 test=770
[manifest] class=AF selected=9997 train=7997 val=1000 test=1000
[manifest] class=AtCou selected=9993 train=7995 val=999 test=999
[manifest] class=AtRun selected=9998 train=7998 val=1000 test=1000
[manifest] class=ComHB selected=3427 train=2741 val=343 test=343
[manifest] class=EctAR selected=9325 train=7461 val=932 test=932
[manifest] class=EctAt selected=9998 train=7998 val=1000 test=1000
[manifest] class=EctVe selected=9998 train=7998 val=1000 test=1000
[manifest] class=Idiov selected=458 train=366 val=46 test=46
[manifest] class=JuRhy selected=9443 train=7555 val=944 test=944
[manifest] class=Noise selected=19299 train=15439 val=1930 test=1930
[manifest] class=PaRhy selected=3121 train=2497 val=312 test=312
[manifest] class=Pause selected=8173 train=6539 val=817 test=817
[manifest] class=SArrh selected=10000 train=8000 val=1000 test=1000
[manifest] class=SRhy selected=9997 train=7997 val=1000 test=1000
[manifest] class=SVT selected=9674 train=7740 val=967 test=967
[manifest] class=VT selected=5402 train=4322 val=540 test=540
[manifest] class=VeCou selected=9997 train=7997 val=1000 test=1000
[manifest] class=Wenck selected=9997 train=7997 val=1000 test=1000
